Ticker YF,Nama
AALI.JK,Astra Agro Lestari Tbk.
ABBA.JK,Mahaka Media Tbk.
ABDA.JK,Asuransi Bina Dana Arta Tbk.
ABMM.JK,ABM Investama Tbk.
ACES.JK,Ace Hardware Indonesia Tbk.
ACST.JK,Acset Indonusa Tbk.
ADES.JK,Akasha Wira International Tbk.
ADHI.JK,Adhi Karya (Persero) Tbk.
ADMF.JK,Adira Dinamika Multi Finance T
ADMG.JK,Polychem Indonesia Tbk
ADRO.JK,Adaro Energy Tbk.
AGRO.JK,Bank Rakyat Indonesia Agroniag
AHAP.JK,Asuransi Harta Aman Pratama Tb
AIMS.JK,Akbar Indo Makmur Stimec Tbk
AISA.JK,Tiga Pilar Sejahtera Food Tbk.
AKKU.JK,Anugerah Kagum Karya Utama Tbk
AKPI.JK,Argha Karya Prima Industry Tbk
AKRA.JK,AKR Corporindo Tbk.
AKSI.JK,Majapahit Inti Corpora Tbk.
ALDO.JK,Alkindo Naratama Tbk.
ALKA.JK,Alakasa Industrindo Tbk
ALMI.JK,Alumindo Light Metal Industry
ALTO.JK,Tri Banyan Tirta Tbk.
AMAG.JK,Asuransi Multi Artha Guna Tbk.
AMFG.JK,Asahimas Flat Glass Tbk.
AMRT.JK,Sumber Alfaria Trijaya Tbk.
ANJT.JK,Austindo Nusantara Jaya Tbk.
ANTM.JK,Aneka Tambang Tbk.
APEX.JK,Apexindo Pratama Duta Tbk.
APIC.JK,Pacific Strategic Financial Tb
APII.JK,Arita Prima Indonesia Tbk.
APLI.JK,Asiaplast Industries Tbk.
APLN.JK,Agung Podomoro Land Tbk.
APOL.JK,Arpeni Pratama Ocean Line Tbk.
ARGO.JK,Argo Pantes Tbk
ARII.JK,Atlas Resources Tbk.
ARNA.JK,Arwana Citramulia Tbk.
ARTA.JK,Arthavest Tbk
ARTI.JK,Ratu Prabu Energi Tbk
ASBI.JK,Asuransi Bintang Tbk.
ASDM.JK,Asuransi Dayin Mitra Tbk.
ASGR.JK,Astra Graphia Tbk.
ASII.JK,Astra International Tbk.
ASJT.JK,Asuransi Jasa Tania Tbk.
ASRI.JK,Alam Sutera Realty Tbk.
ASRM.JK,Asuransi Ramayana Tbk.
ASSA.JK,Adi Sarana Armada Tbk.
AUTO.JK,Astra Otoparts Tbk.
BABP.JK,Bank MNC Internasional Tbk.
BACA.JK,Bank Capital Indonesia Tbk.
BAJA.JK,Saranacentral Bajatama Tbk.
BAPA.JK,Bekasi Asri Pemula Tbk.
BATA.JK,Sepatu Bata Tbk.
BAYU.JK,Bayu Buana Tbk
BBCA.JK,Bank Central Asia Tbk.
BBKP.JK,Bank Bukopin Tbk.
BBLD.JK,Buana Finance Tbk.
BBMD.JK,Bank Mestika Dharma Tbk.
BBNI.JK,Bank Negara Indonesia (Persero
BBRI.JK,Bank Rakyat Indonesia (Persero
BBRM.JK,Pelayaran Nasional Bina Buana
BBTN.JK,Bank Tabungan Negara (Persero)
BCAP.JK,MNC Kapital Indonesia Tbk.
BCIC.JK,Bank JTrust Indonesia Tbk.
BCIP.JK,Bumi Citra Permai Tbk.
BDMN.JK,Bank Danamon Indonesia Tbk.
BEKS.JK,Bank Pembangunan Daerah Banten
BEST.JK,Bekasi Fajar Industrial Estate
BFIN.JK,BFI Finance Indonesia Tbk.
BHIT.JK,MNC Investama Tbk.
BIMA.JK,Primarindo Asia Infrastructure
BIPI.JK,Astrindo Nusantara Infrastrukt
BIPP.JK,Bhuwanatala Indah Permai Tbk.
BISI.JK,BISI International Tbk.
BJBR.JK,Bank Pembangunan Daerah Jawa B
BJTM.JK,Bank Pembangunan Daerah Jawa T
BKDP.JK,Bukit Darmo Property Tbk
BKSL.JK,Sentul City Tbk.
BKSW.JK,Bank QNB Indonesia Tbk.
BLTA.JK,Berlian Laju Tanker Tbk
BMAS.JK,Bank Maspion Indonesia Tbk.
BMRI.JK,Bank Mandiri (Persero) Tbk.
BMSR.JK,Bintang Mitra Semestaraya Tbk
BMTR.JK,Global Mediacom Tbk.
BNBA.JK,Bank Bumi Arta Tbk.
BNBR.JK,Bakrie & Brothers Tbk
BNGA.JK,Bank CIMB Niaga Tbk.
BNII.JK,Bank Maybank Indonesia Tbk.
BNLI.JK,Bank Permata Tbk.
BORN.JK,Borneo Lumbung Energi & Metal
BPFI.JK,Batavia Prosperindo Finance Tb
BRAM.JK,Indo Kordsa Tbk.
BRIS.JK,Bank BRIsyariah Tbk.
BRMS.JK,Bumi Resources Minerals Tbk.
BRNA.JK,Berlina Tbk.
BRPT.JK,Barito Pacific Tbk.
BSDE.JK,Bumi Serpong Damai Tbk.
BSIM.JK,Bank Sinarmas Tbk.
BSSR.JK,Baramulti Suksessarana Tbk.
BSWD.JK,Bank Of India Indonesia Tbk.
BTEK.JK,Bumi Teknokultura Unggul Tbk
BTEL.JK,Bakrie Telecom Tbk.
